n,p,DPAvgValidPaths,DPAvgOptimalPaths,RecAvgValidPaths,RecAvgOptimalPaths
10,0.680000,0.000000,0.000000,0.000000,0.000000
10,0.690000,0.000000,0.000000,0.000000,0.000000
10,0.700000,0.000000,0.000000,0.000000,0.000000
10,0.710000,0.000000,0.000000,0.000000,0.000000
10,0.720000,0.000000,0.000000,0.000000,0.000000
10,0.730000,0.000000,0.000000,0.000000,0.000000
10,0.740000,0.000000,0.000000,0.000000,0.000000
10,0.750000,0.000000,0.000000,0.000000,0.000000
10,0.760000,0.000000,0.000000,0.000000,0.000000
10,0.770000,0.000000,0.000000,0.000000,0.000000
10,0.780000,0.000000,0.000000,0.000000,0.000000
10,0.790000,0.000000,0.000000,0.000000,0.000000
10,0.800000,0.000000,0.000000,0.000000,0.000000
10,0.810000,0.000000,0.000000,0.000000,0.000000
10,0.820000,0.000000,0.000000,0.000000,0.000000
10,0.830000,0.000000,0.000000,0.000000,0.000000
10,0.840000,0.000000,0.000000,0.000000,0.000000
10,0.850000,0.000000,0.000000,0.000000,0.000000
10,0.860000,0.000000,0.000000,0.000000,0.000000
10,0.870000,0.000000,0.000000,0.000000,0.000000
10,0.880000,0.000000,0.000000,0.000000,0.000000
10,0.890000,0.000000,0.000000,0.000000,0.000000
10,0.900000,0.000000,0.000000,0.000000,0.000000
10,0.910000,0.000000,0.000000,0.000000,0.000000
10,0.920000,0.000000,0.000000,0.000000,0.000000
10,0.930000,0.000000,0.000000,0.000000,0.000000
10,0.940000,0.000000,0.000000,0.000000,0.000000
10,0.950000,0.000000,0.000000,0.000000,0.000000
10,0.960000,0.000000,0.000000,0.000000,0.000000
10,0.970000,0.000000,0.000000,0.000000,0.000000
10,0.980000,0.000000,0.000000,0.000000,0.000000
10,0.990000,0.000000,0.000000,0.000000,0.000000
10,1.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,184756.000000,2.000000,184756.000000,2.000000
11,0.008264,155833.700000,1.900000,155833.700000,1.900000
11,0.016529,142491.600000,1.400000,142491.600000,1.400000
11,0.024793,94444.000000,1.700000,94444.000000,1.700000
11,0.033058,82947.800000,1.900000,82947.800000,1.900000
11,0.041322,81131.125000,3.750000,81131.125000,3.750000
11,0.049587,71449.555556,3.777778,71449.555556,3.777778
11,0.057851,70429.285714,4.428571,70429.285714,4.428571
11,0.066116,47715.200000,2.100000,47715.200000,2.100000
11,0.074380,30402.285714,2.142857,30402.285714,2.142857
11,0.082645,30743.666667,8.222222,30743.666667,8.222222
11,0.090909,28541.750000,2.375000,28541.750000,2.375000
11,0.099174,37468.166667,2.000000,37468.166667,2.000000
11,0.107438,16596.571429,2.571429,16596.571429,2.571429
11,0.115702,20103.555556,4.222222,20103.555556,4.222222
11,0.123967,11052.400000,3.000000,11052.400000,3.000000
11,0.132231,12073.714286,3.142857,12073.714286,3.142857
11,0.140496,8400.800000,1.800000,8400.800000,1.800000
11,0.148760,1556.500000,1.750000,1556.500000,1.750000
11,0.157025,8733.750000,9.500000,8733.750000,9.500000
11,0.165289,3168.500000,1.833333,3168.500000,1.833333
11,0.173554,2256.250000,3.000000,2256.250000,3.000000
11,0.181818,1117.600000,3.200000,1117.600000,3.200000
11,0.190083,1339.833333,2.666667,1339.833333,2.666667
11,0.198347,1710.000000,9.500000,1710.000000,9.500000
11,0.206612,1088.250000,3.750000,1088.250000,3.750000
11,0.214876,1742.000000,9.400000,1742.000000,9.400000
11,0.223140,1133.000000,4.500000,1133.000000,4.500000
